Model,N_features,CV_RMSE,CV_MAE,CV_R2,Test_RMSE,Test_MAE,Test_R2
Ridge,5,30868.0,23324.0,0.3472,27533.0,20821.0,0.3662
Ridge,6,30465.0,22902.0,0.3644,26593.0,20067.0,0.4088
Ridge,7,30165.0,22738.0,0.3771,25642.0,19643.0,0.4503
Ridge,8,29923.0,22593.0,0.387,25570.0,19513.0,0.4534
Ridge,9,29940.0,22616.0,0.3863,25522.0,19485.0,0.4554
Ridge,10,29799.0,22479.0,0.3925,25145.0,19228.0,0.4714
Ridge,11,29828.0,22496.0,0.3913,25151.0,19231.0,0.4711
Ridge,12,30675.0,22939.0,0.3566,25518.0,19497.0,0.4556
Ridge,13,30690.0,22952.0,0.356,25502.0,19481.0,0.4563
Ridge,14,30675.0,22905.0,0.3565,25471.0,19461.0,0.4576
Ridge,15,30674.0,22910.0,0.3565,25430.0,19421.0,0.4594
Ridge,16,30681.0,22950.0,0.3559,25128.0,19142.0,0.4721
Ridge,17,30810.0,23008.0,0.3503,25067.0,19082.0,0.4747
Ridge,18,30794.0,23004.0,0.3509,25027.0,19022.0,0.4764
Ridge,19,30686.0,22943.0,0.3556,24928.0,18858.0,0.4805
Ridge,20,30679.0,22937.0,0.3559,24973.0,18902.0,0.4786
Ridge,21,30678.0,22963.0,0.3559,24858.0,18849.0,0.4834
Ridge,22,30686.0,22975.0,0.3557,24918.0,18908.0,0.4809
Ridge,23,30694.0,22983.0,0.3553,24936.0,18910.0,0.4802
Ridge,24,30606.0,22918.0,0.3589,24826.0,18773.0,0.4848
Ridge,25,30648.0,22948.0,0.3572,24817.0,18768.0,0.4851
Ridge,26,30538.0,22868.0,0.3616,24575.0,18483.0,0.4951
Ridge,27,30406.0,22824.0,0.3672,24461.0,18367.0,0.4998
Ridge,28,30362.0,22838.0,0.3689,24556.0,18418.0,0.4959
Ridge,29,30370.0,22851.0,0.3687,24547.0,18394.0,0.4963
Ridge,30,30400.0,22891.0,0.3673,24464.0,18322.0,0.4996
Ridge,31,30388.0,22851.0,0.3678,24382.0,18340.0,0.503
Ridge,32,30391.0,22855.0,0.3677,24373.0,18337.0,0.5034
Ridge,33,30401.0,22867.0,0.3673,24404.0,18340.0,0.5021
Ridge,34,30396.0,22876.0,0.3675,24339.0,18321.0,0.5048
Ridge,35,30386.0,22852.0,0.3679,24420.0,18372.0,0.5015
Ridge,36,30402.0,22856.0,0.3673,24465.0,18427.0,0.4996
Ridge,37,30446.0,22899.0,0.3655,24451.0,18423.0,0.5002
Ridge,38,30479.0,22903.0,0.3642,24421.0,18437.0,0.5014
Ridge,39,30515.0,22949.0,0.3627,24453.0,18466.0,0.5001
Ridge,40,30538.0,22968.0,0.3617,24453.0,18466.0,0.5001
Ridge,41,30576.0,23011.0,0.3602,24458.0,18470.0,0.4999
Ridge,42,30610.0,23017.0,0.3588,24475.0,18476.0,0.4992
Ridge,43,30632.0,23063.0,0.3578,24570.0,18569.0,0.4953
Ridge,44,30645.0,23056.0,0.3573,24593.0,18575.0,0.4944
Ridge,45,30669.0,23076.0,0.3563,24561.0,18515.0,0.4957
Ridge,46,30595.0,22997.0,0.3595,24575.0,18637.0,0.4951
Ridge,47,30607.0,22994.0,0.359,24579.0,18632.0,0.495
Ridge,48,30566.0,22944.0,0.3607,24651.0,18749.0,0.492
Ridge,49,30476.0,22908.0,0.3642,24866.0,18814.0,0.4831
Ridge,50,30478.0,22905.0,0.3641,24825.0,18812.0,0.4848
Ridge,51,30498.0,22930.0,0.3633,24851.0,18811.0,0.4837
Ridge,52,30512.0,22936.0,0.3627,24851.0,18810.0,0.4837
Ridge,53,30502.0,22946.0,0.3631,24969.0,18934.0,0.4788
Ridge,54,30510.0,22972.0,0.3628,24954.0,18914.0,0.4794
Ridge,55,30533.0,22993.0,0.3618,24949.0,18917.0,0.4796
Ridge,56,30542.0,22926.0,0.3614,24886.0,18842.0,0.4822
Ridge,57,30548.0,22937.0,0.3612,24872.0,18841.0,0.4828
Ridge,58,30572.0,22938.0,0.3602,24900.0,18857.0,0.4817
Ridge,59,31644.0,23468.0,0.3114,25232.0,19108.0,0.4678
Ridge,60,31642.0,23471.0,0.3115,25237.0,19118.0,0.4675
Ridge,61,31674.0,23498.0,0.3103,25230.0,19110.0,0.4678
Ridge,62,31695.0,23540.0,0.3093,25203.0,19033.0,0.469
Ridge,63,31689.0,23536.0,0.3096,25194.0,19022.0,0.4694
Ridge,64,31739.0,23570.0,0.3073,25214.0,19048.0,0.4685
Ridge,65,31666.0,23511.0,0.3105,25202.0,19046.0,0.469
Ridge,66,31678.0,23526.0,0.31,25203.0,19047.0,0.469
Ridge,67,31689.0,23542.0,0.3095,25205.0,19048.0,0.4689
Ridge,68,31707.0,23555.0,0.3087,25203.0,19041.0,0.469
Ridge,69,31716.0,23560.0,0.3083,25206.0,19044.0,0.4688
Ridge,70,31760.0,23582.0,0.3065,25203.0,19044.0,0.469
Ridge,71,31828.0,23640.0,0.3037,25295.0,19132.0,0.4651
Ridge,72,31832.0,23650.0,0.3035,25344.0,19171.0,0.463
Ridge,73,31855.0,23656.0,0.3025,25329.0,19163.0,0.4637
Ridge,74,31861.0,23654.0,0.3022,25326.0,19159.0,0.4638
Ridge,75,31871.0,23667.0,0.3018,25315.0,19138.0,0.4643
Ridge,76,31873.0,23664.0,0.3017,25299.0,19072.0,0.4649
Ridge,77,31876.0,23668.0,0.3016,25313.0,19079.0,0.4643
Ridge,78,31892.0,23679.0,0.3007,25355.0,19107.0,0.4626
Ridge,79,31883.0,23683.0,0.3012,25421.0,19164.0,0.4597
Ridge,80,31866.0,23664.0,0.3019,25441.0,19155.0,0.4589
Ridge,81,31811.0,23674.0,0.3038,25499.0,19137.0,0.4564
Ridge,82,31870.0,23699.0,0.3011,25463.0,19132.0,0.458
Ridge,83,31801.0,23637.0,0.3042,25480.0,19134.0,0.4572
Ridge,84,31797.0,23634.0,0.3044,25514.0,19188.0,0.4558
Ridge,85,31817.0,23668.0,0.3037,25634.0,19297.0,0.4507
Ridge,86,31844.0,23597.0,0.3025,25535.0,19241.0,0.4549
Ridge,87,31854.0,23606.0,0.302,25529.0,19237.0,0.4551
Ridge,88,31873.0,23584.0,0.3012,25660.0,19263.0,0.4496
Ridge,89,31884.0,23593.0,0.3007,25658.0,19271.0,0.4496
